Topic,Count,Name,Representation,Representative_Docs
9,121,9_orang_apa_semua_prabowo,"['orang', 'apa', 'semua', 'prabowo', 'kembali', 'para', 'udah', 'negara', 'indonesia', '']","['diskusi diaspora amsterdam paris semua bertanya apa presiden sehingga tdk berani bersihkan orang orang jokowi terutama kapolri jawaban allah prabowo jokowi sigit tahu', 'diskusi diaspora amsterdam paris semua bertanya apa presiden sehingga tdk berani bersihkan orang orang jokowi terutama kapolri jawaban allah prabowo jokowi sigit tahu', 'diskusi diaspora amsterdam paris semua bertanya apa presiden sehingga tdk berani bersihkan orang orang jokowi terutama kapolri jawaban allah prabowo jokowi sigit tahu']"
10,100,10_para___,"['para', '', '', '', '', '', '', '', '', '']","['mohon maaf bagi para pembenci presiden', 'mohon maaf bagi para pembenci presiden', 'mohon maaf bagi para pembenci presiden']"
11,92,11_negara___,"['negara', '', '', '', '', '', '', '', '', '']","['kedaulatan negara terancam secara nyata aksi brutal china bersenjata serang tni area tambang emas', 'kedaulatan negara terancam secara nyata aksi brutal china bersenjata serang tni area tambang emas', 'kedaulatan negara terancam secara nyata aksi brutal china bersenjata serang tni area tambang emas']"
12,73,12_kalo_udah_jadi_orang,"['kalo', 'udah', 'jadi', 'orang', '', '', '', '', '', '']","['kalo tau soal presiden diculik cari info mana kalo presiden menculik sih udah tau', 'kalo tau soal presiden diculik cari info mana kalo presiden menculik sih udah tau', 'kalo tau soal presiden diculik cari info mana kalo presiden menculik sih udah tau']"
13,72,13_rakyat_pak_bencana_,"['rakyat', 'pak', 'bencana', '', '', '', '', '', '', '']","['pak presiden setelah bencana banjir longsor lumpur kayu gelondongan relevan memilah legal ilegal melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat kehilangan ayah ibu anak saudara flora', 'pak presiden setelah bencana banjir longsor lumpur kayu gelondongan relevan memilah legal ilegal melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat kehilangan ayah ibu anak saudara flora', 'pak presiden setelah bencana banjir longsor lumpur kayu gelondongan relevan memilah legal ilegal melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat kehilangan ayah ibu anak saudara flora']"
14,67,14_aceh_tengah_rakyat_kembali,"['aceh', 'tengah', 'rakyat', 'kembali', 'bencana', 'menlu', 'presiden prabowo', 'negara', 'prabowo', 'adalah']","['aceh pakistan rusia presiden prabowo langsung kembali aceh meninjau bencana tengah agenda global keselamatan rakyat tetap prioritas kunjungan ketiganya aceh tanpa menunda negara hadir', 'aceh pakistan rusia presiden prabowo langsung kembali aceh meninjau bencana tengah agenda global keselamatan rakyat tetap prioritas kunjungan ketiganya aceh tanpa menunda negara hadir', 'aceh pakistan rusia presiden prabowo langsung kembali aceh meninjau bencana tengah agenda global keselamatan rakyat tetap prioritas kunjungan ketiganya aceh tanpa menunda negara hadir']"
15,60,15_bencana_prabowo_presiden prabowo_rakyat,"['bencana', 'prabowo', 'presiden prabowo', 'rakyat', 'kembali', 'adalah', 'nasional', 'kemenlu', 'kalo', 'bahwa']","['akses darurat menjadi fokus utama presiden prabowo berdiskusi pemerintah demi kelancaran transportasi ekonomi warga prabowo pulihkan infrastruktur jalan bangkit pasca bencana', 'langkah nyata pemerintah pusat presiden prabowo dorong pembangunan akses darurat prabowo pulihkan infrastruktur supaya transportasi pulih masyarakat bangkit pasca bencana', 'presiden prabowo berdiskusi jajaran pemerintah mempercepat akses darurat demi mobilitas warga prabowo pulihkan infrastruktur menjadi langkah nyata agar transportasi ekonomi bangkit pasca bencana dukungan penuh pemerintah pusat']"
16,58,16_menlu_kemenlu_indonesia_tengah,"['menlu', 'kemenlu', 'indonesia', 'tengah', 'bahwa', 'negara', 'punya', 'kembali', 'kata', 'sama']","['pakistan menolak tuntutan israel menggunakan angkatan daratnya melucuti senjata hamas israel berhenti melanggar gencatan senjata menlu pakistan mengumumkan', 'menlu marco rubio tuding badan pbb unrwa antek hamas usai putusan icj', 'gaza mandat internasional kamboja harusnya menlu polri tppo']"
17,56,17_orang_kerja_tengah_para,"['orang', 'kerja', 'tengah', 'para', 'kalo', 'udah', 'rakyat', 'kembali', 'jadi', 'menlu']","['jaman orba tni dipukul mundur gini lama balik bawa pasukan ratusan orang contohnya peristiwa priuk jamaah warsidi apakah lawannya orang islam wni', 'jaman orba tni dipukul mundur gini lama balik bawa pasukan ratusan orang contohnya peristiwa priuk jamaah warsidi apakah lawannya orang islam wni', 'jaman orba tni dipukul mundur gini lama balik bawa pasukan ratusan orang contohnya peristiwa priuk jamaah warsidi apakah lawannya orang islam wni']"
18,54,18_bahwa_menlu__,"['bahwa', 'menlu', '', '', '', '', '', '', '', '']","['kegiatan akad massal ribu rumah subsidi hari sabtu lalu serang banten sini terlihat menlu hadir seakan menjawab kritik kritik luar sana bahwa seakan menlu hadir bekerja bravo', 'kegiatan akad massal ribu rumah subsidi hari sabtu lalu serang banten sini terlihat menlu hadir seakan menjawab kritik kritik luar sana bahwa seakan menlu hadir bekerja bravo', 'kegiatan akad massal ribu rumah subsidi hari sabtu lalu serang banten sini terlihat menlu hadir seakan menjawab kritik kritik luar sana bahwa seakan menlu hadir bekerja bravo']"
19,51,19_kemenlu_indonesia_punya_kata,"['kemenlu', 'indonesia', 'punya', 'kata', 'menlu', 'kalo', 'kerja', 'negara', 'nasional', 'sama']","['fadli zon minta kemenlu jawab amerika sebut indonesia bahaya partai komunis china', 'fadli zon minta kemenlu jawab amerika sebut indonesia bahaya partai komunis china', 'fadli zon minta kemenlu jawab amerika sebut indonesia bahaya partai komunis china']"
20,27,20____,"['', '', '', '', '', '', '', '', '', '']","['dijawab', 'dijawab', 'dijawab']"
21,26,21_apa_menlu_kata_orang,"['apa', 'menlu', 'kata', 'orang', 'kerja', 'kalo', 'semua', 'sama', '', '']","['bayangin seorang menlu terus dikritik apa lakukan', 'bayangin seorang menlu terus dikritik apa lakukan', 'bayangin seorang menlu terus dikritik apa lakukan']"
22,24,22_rakyat_kembali_nasional_,"['rakyat', 'kembali', 'nasional', '', '', '', '', '', '', '']","['ayo bersatu rebut kembali kedaulatan rakyat', 'ayo bersatu rebut kembali kedaulatan rakyat', 'ayo bersatu rebut kembali kedaulatan rakyat']"
23,17,23____,"['', '', '', '', '', '', '', '', '', '']","['', '', '']"
24,14,24_indonesia_para_presiden prabowo_prabowo,"['indonesia', 'para', 'presiden prabowo', 'prabowo', 'kerja', 'tengah', 'nasional', 'aceh', 'negara', 'jadi']","['presiden prabowo menyampaikan rasa bangga atas perjuangan kontingen indonesia sea games thailand menpora erick thohir sebut salam dukungan disampaikan seluruh atlet berita kemenpora menporafu prabowosubianto', 'cabor demi cabor berhasil dimenangkan atlet indonesia sea games para atlet merah putih sukses membawa pulang medali emas bentuk apresiasi presiden prabowo subianto memberikan hadiah kepada para peraih emas dukungan atas prestasi atlet indonesia', 'presiden prabowo menyiapkan bonus sebesar miliar para atlet berhasil meraih emas gelaran sea games thailand hingga sabtu indonesia menduduki peringkat puncak klasement raihan medali emas medali perak medali']"
25,13,25_prabowo_rakyat_semua_presiden prabowo,"['prabowo', 'rakyat', 'semua', 'presiden prabowo', '', '', '', '', '', '']","['sepakat trump prabowo hapus syarat tkdn produk produk', 'sepakat trump prabowo hapus syarat tkdn produk produk', 'sepakat trump prabowo hapus syarat tkdn produk produk']"
26,12,26_udah_jadi_adalah_kerja,"['udah', 'jadi', 'adalah', 'kerja', '', '', '', '', '', '']","['usah ngajarin sabar jadi wni udah nguji kesabaran banget', 'usah ngajarin sabar jadi wni udah nguji kesabaran banget', 'usah ngajarin sabar jadi wni udah nguji kesabaran banget']"
27,12,27_punya_bencana__,"['punya', 'bencana', '', '', '', '', '', '', '', '']","['nabi nuh diuji bencana nabi ayyub diuji penyakit kemiskinan nabi musa diuji fir aun wni diuji bencana penyakit kemiskinan pemerintahnya mirip fir aun punya wapres planga plongo otak ngeres', 'nabi nuh diuji bencana nabi ayyub diuji penyakit kemiskinan nabi musa diuji fir aun wni diuji bencana penyakit kemiskinan pemerintahnya mirip fir aun punya wapres planga plongo otak ngeres', 'nabi nuh diuji bencana nabi ayyub diuji penyakit kemiskinan nabi musa diuji fir aun wni diuji bencana penyakit kemiskinan pemerintahnya mirip fir aun punya wapres planga plongo otak ngeres']"
28,11,28_aceh_kembali_presiden prabowo_adalah,"['aceh', 'kembali', 'presiden prabowo', 'adalah', 'prabowo', 'bahwa', 'tengah', 'rakyat', 'kerja', 'punya']","['haru pemimpin datang empati harapan tumbuh presiden prabowo bertemu korban banjir aceh berbagi kekuatan optimisme sinergiuntuknegeri pemerintahcepattanggap negarahadir dukasumateradukakita evakuasiprioritas', 'haru pemimpin datang empati harapan tumbuh presiden prabowo bertemu korban banjir aceh berbagi kekuatan optimisme sinergiuntuknegeri pemerintahcepattanggap negarahadir dukasumateradukakita evakuasiprioritas', 'haru pemimpin datang empati harapan tumbuh presiden prabowo bertemu korban banjir aceh berbagi kekuatan optimisme sinergiuntuknegeri pemerintahcepattanggap negarahadir dukasumateradukakita evakuasiprioritas']"
